Product Name,Price,Description
"Moto One (Black, 64 GB)","₹14,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
14.99 cm (5.9 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 625 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto One (White, 64 GB)","₹14,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
14.99 cm (5.9 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 625 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G6 (Indigo Black, 64 GB)","₹15,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
14.48 cm (5.7 inch) Full HD+ Display
12MP + 5MP | 16MP Front Camera
3000 mAh Battery
12 Months Brand Warranty"
"Moto E 4th Gen (Iron Gray, 16 GB)","₹8,499","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
8MP Rear Camera | 5MP Front Camera
2800 mAh Battery
MTK6737 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G (3rd Generation) (White, 16 GB)","₹10,999","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
13MP Rear Camera | 5MP Front Camera
2470 mAh Battery
Qualcomm Snapdragon 410 MSM8916 Processor
Brand Warranty of 1 Year"
"Moto G6 (Indigo Black, 32 GB)","₹14,999","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
14.48 cm (5.7 inch) Full HD+ Display
12MP + 5MP | 16MP Front Camera
3000 mAh Battery
12 Months Brand Warranty"
"Moto E5 (Grey/Flash Gray, 16 GB)","₹12,000","2 GB RAM | 16 GB ROM
14.48 cm (5.7 inch) Display
13MP Rear Camera
4000 mAh Battery
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto C Plus (Pearl White, 16 GB)","₹6,900","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
8MP Rear Camera | 2MP Front Camera
4000 mAh Battery
Mediatek MTK6737 Quad Core 1.3Ghz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto Turbo (Black, 64 GB)","₹31,999","3 GB RAM | 64 GB ROM
13.21 cm (5.2 inch) Quad HD Display
21MP Rear Camera | 2MP Front Camera
3900 mAh Battery
Qualcomm Snapdragon 805 QSC 8084 Processor
Brand Warranty of 1 Year"
"Motorola G8 Power Lite (Royal Blue, 64 GB)","₹9,499","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
16MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Lithium-ion Battery
MediaTek Helio P35 Processor
1 Year for Handset and 6 Months for In-box Accessories"
